signature,Name_GeneSymbol,z_scores
CPC006_A549_24H:BRD-K70792160-003-02-0:24,DDR1,-0.06265426
CPC006_A549_24H:BRD-K70792160-003-02-0:24,PAX8,-0.059856668
CPC006_A549_24H:BRD-K70792160-003-02-0:24,RPS5,0.4238869
CPC006_A549_24H:BRD-K70792160-003-02-0:24,ABCF1,-1.0450873
CPC006_A549_24H:BRD-K70792160-003-02-0:24,SPAG7,-0.42378116
CPC006_A549_24H:BRD-K70792160-003-02-0:24,RHOA,1.3847588
CPC006_A549_24H:BRD-K70792160-003-02-0:24,RNPS1,-0.71743345
CPC006_A549_24H:BRD-K70792160-003-02-0:24,SMNDC1,-0.69422567
CPC006_A549_24H:BRD-K70792160-003-02-0:24,ATP6V0B,0.927974
CPC006_A549_24H:BRD-K70792160-003-02-0:24,RPS6,0.04766391
CPC006_A549_24H:BRD-K70792160-003-02-0:24,USP22,-0.4505816
CPC006_A549_24H:BRD-K70792160-003-02-0:24,APP,0.10944023
CPC006_A549_24H:BRD-K70792160-003-02-0:24,CLTC,0.83409655
CPC006_A549_24H:BRD-K70792160-003-02-0:24,MLEC,0.47860003
CPC006_A549_24H:BRD-K70792160-003-02-0:24,CSRP1,-1.5855991
CPC006_A549_24H:BRD-K70792160-003-02-0:24,CALM3,0.4857565
CPC006_A549_24H:BRD-K70792160-003-02-0:24,PTPRF,-0.51016337
CPC006_A549_24H:BRD-K70792160-003-02-0:24,DNAJB1,0.2870273
CPC006_A549_24H:BRD-K70792160-003-02-0:24,XBP1,-0.5505358
CPC006_A549_24H:BRD-K70792160-003-02-0:24,GRN,1.5185499
CPC006_A549_24H:BRD-K70792160-003-02-0:24,HK1,-0.036901586
CPC006_A549_24H:BRD-K70792160-003-02-0:24,KDELR2,-0.2842576
CPC006_A549_24H:BRD-K70792160-003-02-0:24,SKP1,0.14548017
CPC006_A549_24H:BRD-K70792160-003-02-0:24,CAPN1,-0.30607787
CPC006_A549_24H:BRD-K70792160-003-02-0:24,CALU,-0.8674487
